author,description,format,genre,month,pages,publisher,rating,title,year
Alicia Cook,"In Alicia Cook's second poetic effort, designed in the style of an old mixtape, she sets her thoughts to a nostalgic tune. There is no Table of Contents. Instead, there is a ""Track List,"" making it easy to refer to them to your friends with a, ""Hey did you read track seven?!"" There are no chapters. Instead, the book is divided into two parts, or as one would say in the 90'",Paperback,Poetry,January,126,CreateSpace Independent Publishing Platform,3.82,Stuff I've Been Feeling Lately,2016
J.R. Rogue,What happens when you meet ,Paperback,Poetry,May,68,Radiant Sky Publishing Group                          (first published December 1st 2015,3.95,La Douleur Exquise,2015
R.H. Sin,"Real and raw, the voice of R. H. Sin delivers gritty, impassioned truths on matters of loving, living, and leaving in his second book of poetry.  Sin's first book is a bestseller and continues to delight his one million followers.",Paperback,Poetry,June,176,Andrews McMeel Publishing,4.07,Whiskey Words & a Shovel II,2016
Ocean Vuong,"Ocean Vuong's first full-length collection aims straight for the perennial ""big""—and very human—subjects of romance, family, memory, grief, war, and melancholia. None of these he allows to overwhelm his spirit or his poems, which demonstrate, through breath and cadence and unrepentant enthrallment, that a gentle palm on a chest can calm the fiercest hungers.",Kindle Edition,Poetry,May,70,Copper Canyon Press                          (first published April 5th 2016,4.32,Night Sky with Exit Wounds,2016
Vivek Shraya,"Vivek's debut collection of poetry is a bold and timely interrogation of skin: its origins, functions, and limitations. Poems that range in style from starkly concrete to limber break down the barriers that prevent understanding of what it means to be racialized. Shraya paints the face of everyday racism with words, rendering it visible, tangible, and undeniable.",Paperback,Poetry,September,116,Arsenal Pulp Press,4.20,Even this Page is White,2016
Sarah Kay,"<strong>Sarah Kay's powerful spoken word poetry performances have gone viral, with more than 10 million online views and thousands more in global live audiences. In her second single-poem volume, Kay takes readers along a lyrical road toward empowerment, exploring the promise and complicated reality of being a woman. </strong>",Hardcover,Poetry,March,48,Hachette Books                          (first published February 9th 2016,4.36,The Type,2016
Michael Faudet,"Bitter Sweet Love is the much-anticipated second collection of internationally best-selling poet Michael Faudet, author of ""Dirty Pretty Things,"" a finalist in the 2015 Goodreads Readers Choice Awards. Michael Faudet's whimsical and often erotic writing has captured the hearts and minds of literally thousands of readers from around the world. He paints vivid pictures with",Paperback,Poetry,October,208,Andrews McMeel Publishing,3.62,Bitter Sweet Love,2016
Billy Collins,"<p>From former U.S. Poet Laureate Billy Collins comes a twelfth collection of poetry offering nearly fifty new poems that showcase the generosity, wit, and imaginative play that prompted <i>The Wall Street Journal</i> to call him America's favorite poet.<br/></p>",Hardcover,Poetry,October,160,Random House,4.03,The Rain in Portugal: New Poems,2016
K.W. Peery,"Prolific Americana songwriter and poet, K.W. Peery, author of Tales of a Receding Hairline, writes about his personal life experiences. As he grapples with morality and mortality, the unvarnished truth is breathtakingly obvious. His unapologetic vulnerability is neatly embedded within each work. He has an innate ability to dig up his past and offer it to the reader as if t",Paperback,Poetry,February,116,GenZ Publishing                           (first published 2016,4.22,Tales of a Receding Hairline,2016
Solmaz Sharif,<p>*Finalist for the 2017 PEN Open Book Award*<br/>*Finalist for the 2016 National Book Award*</p>,Paperback,Poetry,July,98,Graywolf Press,4.29,Look,2016
