author,description,format,genre,month,pages,publisher,rating,title,year
Peter F. Hamilton,"The planet Bienvenido is in crisis. It has finally escaped the Void, emerging into regular space. But it's millions of light-years from Commonwealth assistance, and humans are battling the Fallers for control of their world. This rapacious adversary, evolved to destroy all sentient life, has infiltrated every level of human society - hijacking unwilling bodies so its citiz",Hardcover,Science Fiction,September,704,Del Rey,4.41,A Night Without Stars,2016
Jennifer Foehner Wells,"In defiance of NASA, Jane Holloway, the linguist of the Providence expedition, commandeers the alien ship that crew explored. She sets off to return that ship’s marooned navigator to his home world, determined to discover who was behind the genocide that destroyed his original crew. ",Paperback,Science Fiction,March,490,Blue Bedlam Science Fiction,4.06,Remanence,2016
Yoon Ha Lee,"The first installment of the trilogy, ",Paperback,Science Fiction,June,319,Solaris,3.86,Ninefox Gambit,2016
William Hertling,"By day, Angie, a twenty-year veteran of the tech industry, is a data analyst at Tomo, the world's largest social networking company; by night, she exploits her database access to profile domestic abusers and kill the worst of them. She can't change her own traumatic past, but she can save other women. ",Paperback,Science Fiction,June,306,Liquididea Press,4.13,Kill Process,2016
Joe Hill,"From the award-winning, ",Hardcover,Horror,May,752,William Morrow,3.90,The Fireman,2016
Dot Hutchison,Near an isolated mansion lies a beautiful garden.,Paperback,Thriller,June,276,Thomas & Mercer                          (first published April 26th 2016,4.06,The Butterfly Garden,2016
Justin Cronin,The world we knew is gone. What world will rise in its place? ,Hardcover,Horror,May,602,Ballantine Books                          (first published March 24th 2016,4.20,The City of Mirrors,2016
Lisa Unger,In this explosive psychological thriller by ,Hardcover,Mystery,June,342,Touchstone,3.75,Ink and Bone,2016
Dan Wells,"John and Brooke are on their own, hitchhiking from town to town as they hunt the last of the Withered through the midwest— but the Withered are hunting them back, and the FBI is close behind. With each new town, each new truck stop, each new highway, they get closer to a vicious killer who defies every principle of profiling and prediction John knows how to use, and meanwh",Paperback,Horror,May,303,Tor Books,4.07,Over Your Dead Body,2016
Grady Hendrix,"1988. Charleston, South Carolina. High school sophomores Abby and Gretchen have been best friends since fourth grade. . But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act… different. She’s moody. She’s irritable. And bizarre incidents keep happening whenever she’s nearby. ",Hardcover,Horror,May,336,Quirk Books,3.91,My Best Friend's Exorcism,2016
M.R. Carey,Fellside is a maximum security prison on the edge of the Yorkshire Moors. It's not the kind of place you'd want to end up. But it's where Jess Moulson could be spending the rest of her life.,Hardcover,Horror,April,486,Orbit                          (first published April 4th 2016,3.56,Fellside,2016
Matt Ruff,"The critically acclaimed cult novelist makes visceral the terrors of life in Jim Crow America and its lingering effects in this brilliant and wondrous work of the imagination that melds historical fiction, pulp noir, and Lovecraftian horror and fantasy",Hardcover,Horror,February,372,Harper,4.07,Lovecraft Country,2016
John Connolly,"Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.",Hardcover,Thriller,April,480,Hodder & Stoughton,4.31,A Time of Torment,2016
John Connolly,"Jerome Burnel was once a hero. He intervened to prevent multiple killings and in doing so damned himself. His life was torn apart. He was imprisoned, brutalized.",Hardcover,Thriller,April,480,Hodder & Stoughton,4.31,A Time of Torment,2016
Samantha Hunt,"A contemporary gothic from an author in the company of Kelly Link and Aimee Bender, ",Hardcover,Fiction,January,322,Houghton Mifflin Harcourt,3.65,Mr. Splitfoot,2016
Amanda Stevens,<b>My name is Amelia Gray. I'm the Graveyard Queen.</b>,Paperback,Fantasy,March,384,Mira,4.05,The Visitor,2016
Victor LaValle,People move to New York looking for magic and nothing will convince them it isn't there.,Paperback,Horror,February,149,Tor.com,3.90,The Ballad of Black Tom,2016
Charles Stross,"Alex Schwartz had a promising future - until he contracted an unfortunate bout of vampirism, and agreed (on pain of death) to join the Laundry, Britain's only counter-occult secret agency.",Hardcover,Fantasy,June,352,Orbit,4.23,The Nightmare Stacks,2016
Jonathan Maberry,What do you do when the power goes off?,Paperback,Horror,April,536,St. Martin's Griffin,4.30,Kill Switch,2016
Larry Correia,"When Marine Private Oliver Chadwick Gardenier is killed in the Marine barrack bombing in Beirut, somebody who might be Saint Peter gives him a choice: Go to Heaven, which while nice might be a little boring, or return to Earth. The Boss has a mission for him and he's to look for a sign. He's a Marine: He'll choose the mission.",Hardcover,Fantasy,August,307,Baen,4.13,Grunge,2016
Nicholas Sansbury Smith,"Hope rises in the hearts of those still left standing, but safety seems to be just an illusion. In a single night of shattering terror, Plum Island is destroyed, and key scientist Dr. Kate Lovato is abducted. The end has arrived... Almost seven weeks have passed since the Hemorrhage Virus ravaged the world. The remnants of the United States military have regrouped and relo",Paperback,Horror,February,450,CreateSpace Independent Publishing Platform,4.34,Extinction End,2016
A.A. Dark,"Buried deep below the everyday life of our society lives an underground world of nightmares—of violence and murder no one dares speak about. Contracts and laws weave the web of our culture together. Our Masters walk amongst us. They can be our friends, or the ones to make us disappear forever. ",Paperback,Dark,July,306,CreateSpace Independent Publishing Platform,3.96,24690,2016
Jason Arnopp,Jack Sparks died while writing this book. This is the account of his final days.,Paperback,Horror,March,336,Orbit,3.91,The Last Days of Jack Sparks,2016
Paul Tremblay,"<b>A family is shaken to its core after the mysterious disappearance of a teenage boy in this eerie tale, a blend of literary fiction, psychological suspense, and supernatural horror from the author of <i>A Head Full of Ghosts</i>.</b>",Hardcover,Horror,June,327,William Morrow,3.58,Disappearance at Devil's Rock,2016
Amy Schumer,"The Emmy Award-winning comedian, actress, writer, and star of ",Hardcover,Nonfiction,August,323,Gallery Books,3.73,The Girl with the Lower Back Tattoo,2016
Anna Kendrick,A collection of humorous autobiographical essays by the Academy Award-nominated actress and star of ,Hardcover,Nonfiction,November,275,Touchstone,3.90,Scrappy Little Nobody,2016
Mara Wilson,"<b>For readers of Lena Dunham, Allie Brosh and Roxane Gay, this funny, poignant, daringly honest collection of personal essays introduces Mara Wilson—the former child actress best known for her starring roles in <i>Matilda </i>and <i>Mrs. Doubtfire—</i>as a brilliant new chronicler of the experience that is growing up young and female.</b>",Paperback,Nonfiction,September,259,Penguin Books,3.86,Where Am I Now?,2016
Kate Friedman-Siegel,"<b>Based on the wildly popular Instagram account @CrazyJewishMom, Kate Siegel's essay collection about life with the woman who redefined the term ""helicopter mom""</b>",Hardcover,Nonfiction,April,255,Crown Archetype,3.78,"Mother, Can You Not?",2016
Phoebe Robinson,"A hilarious and affecting essay collection about race, gender, and pop culture from celebrated stand-up comedian and WNYC podcaster Phoebe Robinson.",Paperback,Nonfiction,October,285,Plume Books,3.86,You Can't Touch My Hair: And Other Things I Still Have to Explain,2016
Shane Dawson,<i>New York Times</i>,Paperback,Nonfiction,July,256,Atria/Keywords Press,4.29,It Gets Worse: A Collection of Essays,2016
Luvvie Ajayi,"<b>Comedian, activist, and hugely popular culture blogger at AwesomelyLuvvie.com, Luvvie Ajayi, serves up necessary advice for the common senseless in this hilarious book of essays</b>",Paperback,Nonfiction,September,241,Holt Paperbacks,3.69,I'm Judging You: The Do-Better Manual,2016
Luvvie Ajayi,"<b>Comedian, activist, and hugely popular culture blogger at AwesomelyLuvvie.com, Luvvie Ajayi, serves up necessary advice for the common senseless in this hilarious book of essays</b>",Paperback,Nonfiction,September,241,Holt Paperbacks,3.69,I'm Judging You: The Do-Better Manual,2016
Norm Macdonald,"Wild, dangerous, and flat-out unbelievable, here is the incredible memoir of the actor, gambler, raconteur, ",Hardcover,Humor,September,240,Spiegel & Grau,3.95,Based on a True Story,2016
Karen Alpert,<em>Now that I</em>,Hardcover,Nonfiction,April,309,William Morrow,3.74,I Want My Epidural Back: Adventures in Mediocre Parenting,2016
Tig Notaro,"<b>One of America’s most original comedic voices delivers a darkly funny, wryly observed, and emotionally raw account of her year of death, cancer, and epiphany.</b>",Hardcover,Autobiography,June,256,Ecco,3.88,I'm Just a Person,2016
Jennifer Keishin Armstrong,The hilarious behind-the-scenes story of two guys who went out for coffee and dreamed up ,Hardcover,Nonfiction,July,307,Simon  Schuster,3.65,Seinfeldia: How a Show About Nothing Changed Everything,2016
Laurie Notaro,#1 ,Paperback,Humor,July,288,Ballantine Books,3.83,Housebroken: Admissions of an Untidy Life,2016
Jessi Klein,INSTANT ,Hardcover,Autobiography,July,291,Grand Central Publishing                          (first published June 7th 2016,3.81,You'll Grow Out of It,2016
Jen Kirkman,<i>New York Times</i>,Hardcover,Humor,April,240,Simon & Schuster,3.60,I Know What I'm Doing and Other Lies I Tell Myself: Dispatches from a Life Under Construction,2016
Zach Anner,"Comedian Zach Anner opens his frank and devilishly funny book, ",Hardcover,Nonfiction,March,338,Henry Holt and Co,4.00,If at Birth You Don't Succeed: My Adventures with Disaster and Destiny,2016
Sara Benincasa,"For readers of Lena Dunham, Mindy Kaling, and #Girlboss, a hilarious—yet heartfelt—guide to growing up and taking your place in the world by the popular comedian and author of the highly praised ",Paperback,Nonfiction,April,272,William Morrow Paperbacks,3.78,Real Artists Have Day Jobs: (And Other Awesome Things They Don't Teach You in School),2016
Michael Ian Black,New York Times bestselling author and stand-up comedian Michael Ian Black delivers a frank and funny memoir about confronting his genetic legacy as he hits his forties.,Hardcover,Humor,January,194,Gallery Books,3.82,"Navel Gazing: True Tales of Bodies, Mostly Mine (But Also My Mom's, Which I Know Sounds Weird)",2016
Dave Barry,<b>A brilliantly funny exploration of the Sunshine State from the man who knows it best: Pulitzer Prize winner and <i>New York Times</i>–bestselling author Dave Barry.</b>,Hardcover,Humor,September,256,G.P. Putnam's Sons                          (first published September 2016,3.79,Best. State. Ever.: A Florida Man Defends His Homeland,2016
Alan Partridge,In ,Hardcover,Fiction,October,320,Orion,4.12,Alan Partridge: Nomad,2016
Lin-Manuel Miranda,Lin-Manuel Miranda's groundbreaking musical ,Hardcover,Nonfiction,April,285,Grand Central Publishing,4.48,Hamilton: The Revolution,2016
Neil Gaiman,"<b>An enthralling collection of nonfiction essays on myriad topics—from art and artists to dreams, myths, and memories—observed in Neil Gaiman’s probing, amusing, and distinctive style.</b>",Hardcover,Nonfiction,May,522,William Morrow,4.00,The View from the Cheap Seats: Selected Nonfiction,2016
Peggy Orenstein,"With casual hookups and campus rape relentlessly in the news, parents can be forgiven for feeling anxious about their young daughters. They’re also fearful about opening up a dialog. Not Orenstein. A contributing writer to the ",Hardcover,Nonfiction,March,303,Harper                          (first published March 1st 2016,4.06,Girls & Sex: Navigating the Complicated New Landscape,2016
Rabia Chaudry,<b><i>Serial</i> told Only Part of the Story…</b>,Hardcover,Nonfiction,August,410,St. Martin's Press                          (first published June 7th 2016,4.11,Adnan's Story: The Search for Truth and Justice After Serial,2016
Matthew Desmond,"<b><i>New York Times </i>Bestseller<br/><br/>From Harvard sociologist and MacArthur ""Genius"" Matthew Desmond, a landmark work of scholarship and reportage that will forever change the way we look at poverty in America</b>",Hardcover,Nonfiction,March,418,Crown,4.49,Evicted: Poverty and Profit in the American City,2016
Olivia Laing,"What does it mean to be lonely? How do we live, if we're not intimately engaged with another human being? How do we connect with other people? Does technology draw us closer together or trap us behind screens?",Hardcover,Nonfiction,March,336,Picador,3.92,The Lonely City: Adventures in the Art of Being Alone,2016
Chuck Klosterman,"We live in a culture of casual certitude. This has always been the case, no matter how often that certainty has failed. Though no generation believes there’s nothing left to learn, every generation unconsciously assumes that what has already been defined and accepted is (probably) pretty close to how reality will be viewed in perpetuity. And then, of course, time passes. I",Hardcover,Nonfiction,June,272,Blue Rider Press,3.65,But What If We're Wrong? Thinking About the Present As If It Were the Past,2016
Jane Mayer,Who are the immensely wealthy right-wing ideologues shaping the fate of America today? From the bestselling author of ,Hardcover,Nonfiction,January,464,Doubleday,4.36,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,2016
Adam M. Grant,In ,Hardcover,Nonfiction,February,326,Viking,3.97,Originals: How Non-Conformists Move the World,2016
Kameron Hurley,"A powerful collection of essays on feminism, geek culture, and a writer’s journey, from one of the most important new voices in genre.",Hardcover,Nonfiction,May,272,Tor Books,3.92,The Geek Feminist Revolution,2016
Angela Duckworth,"In this must-read book for anyone striving to succeed, pioneering psychologist Angela Duckworth shows parents, educators, students, and business people both seasoned and new that the secret to outstanding achievement is not talent but a focused persistence called grit.",Hardcover,Nonfiction,May,320,Scribner,4.06,"Grit: Passion, Perseverance, and the Science of Success",2016
Sebastian Junger,"Sebastian Junger, the bestselling author of ",Hardcover,Nonfiction,May,192,Twelve,4.04,Tribe: On Homecoming and Belonging,2016
Ben Lindbergh,<b>What would happen if two statistics-minded outsiders were allowed to run a professional baseball team?</b>,Hardcover,Sports and Games,May,343,Henry Holt and Co,4.22,The Only Rule Is It Has to Work: Our Wild Experiment Building a New Kind of Baseball Team,2016
Richard Engel,"Based on two decades of reporting, NBC’s chief foreign correspondent’s riveting story of the Middle East revolutions, the Arab Spring, war, and terrorism seen up-close—sometimes dangerously so.",Hardcover,Nonfiction,February,241,"Simon & Schuster, Inc.                          (first published February 2016",4.20,And Then All Hell Broke Loose: Two Decades in the Middle East,2016
Ryan Holiday,"“While the history books are filled with tales of obsessive, visionary geniuses who remade the world in their image with sheer, almost irrational force, I’ve found that history is also made by individuals who fought their egos at every turn, who eschewed the spotlight, and who put their higher goals above their desire for recognition.” –from the Prologue",Hardcover,Nonfiction,June,226,Portfolio,4.14,Ego Is the Enemy,2016
Charles Duhigg,"A new book that explores the science of productivity, and why, in today’s world, managing ",Hardcover,Nonfiction,March,400,Random House                          (first published March 2016,3.91,Smarter Faster Better: The Secrets of Being Productive in Life and Business,2016
Cal Newport,"<b>One of the most valuable skills in our economy is becoming increasingly rare. If you master this skill, you'll achieve extraordinary results.</b>",Hardcover,Nonfiction,January,296,Grand Central Publishing,4.20,Deep Work: Rules for Focused Success in a Distracted World,2016
Gary Younge,"On an average day in America, seven children and teens will be shot dead. In ",Hardcover,Nonfiction,October,267,Bold Type Books,4.24,Another Day in the Death of America: A Chronicle of Ten Short Lives,2016
Jesmyn Ward,National Book Award winner Jesmyn Ward takes James Baldwin’s 1963 examination of race in America,Hardcover,Nonfiction,August,226,Scribner,4.35,The Fire This Time: A New Generation Speaks about Race,2016
Brad Warner,<b>A Radical but Reverent Paraphrasing of Dogen’s Treasury of the True Dharma Eye</b>,Paperback,Religion,March,328,New World Library,3.93,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",2016
Paul Kalanithi,"At the age of thirty-six, on the verge of completing a decade’s worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. ",Hardcover,Nonfiction,January,229,Random House,4.34,When Breath Becomes Air,2016
Lindsey Stirling,"Electronic and dancing violinist Lindsey Stirling shares her unconventional journey in an inspiring memoir filled with the energy, persistence, and humor that have helped her successfully pursue a passion outside the box.",Hardcover,Nonfiction,January,262,Gallery Books,4.17,The Only Pirate at the Party,2016
Anderson Cooper,"A touching and intimate correspondence between Anderson Cooper and his mother, Gloria Vanderbilt, offering timeless wisdom and a revealing glimpse into their lives.",Hardcover,Nonfiction,April,290,Harper,3.82,"The Rainbow Comes and Goes: A Mother and Son On Life, Love, and Loss",2016
Glennon Doyle Melton,The highly anticipated new memoir by bestselling author Glennon Doyle Melton tells the story of her journey of self-discovery after the implosion of her marriage.,Hardcover,Autobiography,September,272,St. Martin’s Press,4.08,Love Warrior,2016
Bruce Springsteen,"“Writing about yourself is a funny business…But in a project like this, the writer has made one promise, to show the reader his mind. In these pages, I’ve tried to do this.” —Bruce Springsteen, from the pages of ",Hardcover,Nonfiction,September,528,Simon  Schuster,4.19,Born to Run,2016
Hope Jahren,"Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. ",Hardcover,Nonfiction,April,290,Knopf                          (first published March 1st 2016,4.03,Lab Girl,2016
J.D. Vance,"From a former marine and Yale Law School graduate, a powerful account of growing up in a poor Rust Belt town that offers a broader, probing look at the struggles of America’s white working class",Hardcover,Nonfiction,June,257,Harper,3.94,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2016
Jennifer Weiner,"She’s also a mom, a daughter, and a sister; a former rower and current cyclist; a best friend and a reality TV junkie. In her first foray into nonfiction, she takes the raw stuff of her personal life and spins into a collection of essays on modern womanhood as uproariously funny and moving as the best of Tina Fey, Fran Lebowitz, and Nora Ephron.",Hardcover,Autobiography,October,432,Atria Books,3.76,"Hungry Heart: Adventures in Life, Love, and Writing",2016
Hannah Hart,The wildly popular YouTube personality and author of the ,Hardcover,Nonfiction,October,256,Dey Street Books,4.27,Buffering: Unshared Tales of a Life Fully Loaded,2016
Lindy West,"Coming of age in a culture that demands women be as small, quiet, and compliant as possible--like a porcelain dove that will also have sex with you--writer and humorist Lindy West quickly discovered that she was anything but. ",Hardcover,Nonfiction,May,275,Hachette,4.21,Shrill: Notes from a Loud Woman,2016
Sue Klebold,"On April 20, 1999, Eric Harris and Dylan Klebold walked into Columbine High School in Littleton, Colorado. Over the course of minutes, they would kill twelve students and a teacher and wound twenty-four others before taking their own lives.",Hardcover,Nonfiction,February,305,Crown,4.13,A Mother's Reckoning: Living in the Aftermath of Tragedy,2016
Kevin Hazzard,"A former paramedic’s visceral, poignant, and mordantly funny account of a decade spent on Atlanta’s mean streets saving lives and connecting with the drama and occasional beauty that lies inside catastrophe.",Hardcover,Nonfiction,January,261,Scribner,3.87,A Thousand Naked Strangers: A Paramedic's Wild Ride to the Edge and Back,2016
Lecrae Moore,"<i>If you live for people's acceptance, you'll die from their rejection.</i>",Hardcover,Nonfiction,May,256,B Books                          (first published May 1st 2016,4.42,Unashamed,2016
Ruth Wariner,"<b>A riveting, deeply-affecting true story of one girl's coming-of-age in a polygamist cult.</b>",Hardcover,Nonfiction,January,336,Flatiron Books,4.17,The Sound of Gravel: A Memoir,2016
Dave  Holmes,"<b>From former MTV VJ Dave Holmes, the hilarious memoir of a perpetual outsider fumbling towards self-acceptance, with the music of the '80s, '90s, and today as his soundtrack</b>",Hardcover,Autobiography,June,288,Crown Archetype                          (first published May 24th 2016,4.04,Party of One: A Memoir in 21 Songs,2016
Augusten Burroughs,First came ,Hardcover,Autobiography,March,304,St. Martin's Press,3.81,Lust & Wonder,2016
Phil Knight,"In this candid and riveting memoir, for the first time ever, Nike founder and CEO Phil Knight shares the inside story of the company’s early days as an intrepid start-up and its evolution into one of the world’s most iconic, game-changing, and profitable brands.",Hardcover,Business,April,386,Scribner                          (first published April 24th 2016,4.45,Shoe Dog: A Memoir by the Creator of NIKE,2016
Jessica Valenti,Author and ,Hardcover,Feminism,June,205,Dey Street Books,3.66,Sex Object: A Memoir,2016
Emily Christensen,"How much can a life change in just five years? For Emily Christensen, that span began with conversion to the Church of Jesus Christ of Latter-day Saints, and ended with the adoption of six children with special needs. In ",Hardcover,Nonfiction,November,312,Hwc Press                          (first published September 19th 2016,4.02,Keeping Kyrie,2016
Ralph  Webster,"<i>Librarian's Note: This is an alternate-cover edition for <a href=""https://www.goodreads.com/book/show/30986075-a-smile-in-one-eye"" rel=""nofollow""><u>ASIN B01HRZ13O2</u></a> </i>",Paperback,Nonfiction,June,372,CreateSpace,4.11,A Smile in One Eye: a Tear in the Other,2016
William Shatner,Leonard Nimoy and William Shatner first crossed paths as actors on the set of ,Hardcover,Nonfiction,February,278,Thomas Dunne Books                          (first published February 2nd 2016,3.78,Leonard: My Fifty-Year Friendship with a Remarkable Man,2016
Simon Sebag Montefiore,"The Romanovs were the most successful dynasty of modern times, ruling a sixth of the world’s surface for three centuries. How did one family turn a war-ruined principality into the world’s greatest empire? And how did they lose it all?",Hardcover,History,January,784,W&N,4.04,The Romanovs: 1613-1918,2016
Kate Andersen Brower,"From the #1 New York Times bestselling author of the groundbreaking backstairs look at the White House, The Residence, comes an intimate, news-making look at the true modern power brokers at 1600 Pennsylvania Avenue: the First Ladies, from Jackie Kennedy to Michelle Obama.",Hardcover,Nonfiction,April,400,Harper,3.70,First Women: The Grace and Power of America's Modern First Ladies,2016
Nathalia Holt,The riveting true story of the women who launched America into space.,Hardcover,Nonfiction,April,338,"Little, Brown and Company",3.88,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",2016
Rebecca Traister,"A nuanced investigation into the sexual, economic, and emotional lives of women in America. In a provocative, groundbreaking work, National Magazine Award finalist Rebecca Traister, “the most brilliant voice on feminism in the country” (Anne Lamott), traces the history of unmarried and late-married women in America who, through social, political, and economic means, have r",Hardcover,Nonfiction,March,339,Simon  Schuster,4.05,All the Single Ladies: Unmarried Women and the Rise of an Independent Nation,2016
Nancy Isenberg,"<b>In her groundbreaking history of the class system in America, extending from colonial times to the present, Nancy Isenberg takes on our comforting myths about equality, uncovering the crucial legacy of the ever-present, always embarrassing––if occasionally entertaining––""poor white trash.""</b>",Hardcover,History,June,460,Viking,3.74,White Trash: The 400-Year Untold History of Class in America,2016
Margot Lee Shetterly,"Soon to be a motion picture. The #1 New York Times Bestseller. Set amid the civil rights movement, the never-before-told true story of NASA’s African-American female mathematicians who played a crucial role in America’s space program. Before Neil Armstrong walked on the moon, a group of professionals worked as ‘Human Computers’, calculating the flight paths that would enab",Paperback,Nonfiction,December,368,William Morrow Paperbacks                          (first published September 6th 2016,3.96,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race,2016
